subject_id,config_id,algorithm,representation,constraint_handler,seed,runtime_s,f1_best,f2_best,front_size,hypervolume,igd,spacing,delta_spread
1,nsga2_rk_repair,NSGA-II,random_key,repair,109,1.4725394580018474,1348.19,162.2832191717398,80,1649352.9696760662,151.67246278375777,215.20335144481766,0.9447873884154273
1,nsga2_rk_repair,NSGA-II,random_key,repair,110,1.4864103750005597,1834.5700000000002,221.75104585608946,80,1976346.2608225627,160.6357557299127,141.94899984074215,0.8390517957087653
1,nsga2_rk_repair,NSGA-II,random_key,repair,111,1.490961999996216,1383.9500000000003,274.9551150167266,80,2282534.5842554593,106.44462626053016,187.83904685259768,0.8114778264255397
1,nsga2_rk_repair,NSGA-II,random_key,repair,112,1.4982141249929555,2228.3300000000004,215.68105304774642,80,934389.2874387302,324.07314838176154,59.65875689779681,0.8214540747367344
1,nsga2_rk_repair,NSGA-II,random_key,repair,113,1.476928832998965,1484.3300000000004,177.1872194519403,80,1070231.818447403,100.82123536805237,111.3274605691163,0.8459144126667295
1,nsga2_rk_repair,NSGA-II,random_key,repair,114,1.481314165997901,1969.3300000000004,170.15420752848604,80,995233.2744545259,213.48849242307634,92.09789447088629,0.8440343819216675
1,nsga2_rk_repair,NSGA-II,random_key,repair,115,1.4965540839912137,1893.9500000000003,193.3044337191058,80,1828312.8317922186,151.16187671851327,185.42948064368375,0.8422904724751147
1,nsga2_rk_repair,NSGA-II,random_key,repair,116,1.491979166996316,1642.3300000000004,143.4959430036141,80,1461277.646794677,157.8739943693064,109.75602445106348,0.79170648626265
1,nsga2_rk_repair,NSGA-II,random_key,repair,117,1.501381207999657,1059.5700000000002,224.69543481734672,80,1817137.8335237158,152.10635805598267,234.44068405803557,0.835065357314965
1,nsga2_rk_repair,NSGA-II,random_key,repair,118,1.4567003749980358,1071.9500000000003,240.90604943648202,80,1310376.7760093906,138.70776028539217,111.03974941673339,0.8003304869876106
1,nsga2_rk_repair,NSGA-II,random_key,repair,119,1.4636696670058882,2053.3300000000004,207.4439654687222,80,1442328.6019335,184.87911225424116,104.82146679620138,0.7925593595374543
1,nsga2_rk_repair,NSGA-II,random_key,repair,120,1.4939797499973793,1716.19,162.54598444260708,80,699870.3936352516,317.02827435092905,64.59887045629567,0.8762398358607647
1,nsga2_rk_repair,NSGA-II,random_key,repair,121,1.4946843329962576,1474.3300000000004,253.87018036958648,80,1668025.1921245186,135.09017554127084,108.1850211808772,0.7879491843037973
1,nsga2_rk_repair,NSGA-II,random_key,repair,122,1.4554321670002537,1905.9500000000003,180.42284122210972,80,1295573.7463329812,172.3169511042187,104.70381058434441,0.8295208174644939
1,nsga2_rk_repair,NSGA-II,random_key,repair,123,1.4859919579903362,1285.5700000000002,223.5981857053664,80,1622410.3095962708,90.2086402681208,144.48112322271808,0.8461626095868339
1,nsga2_rk_repair,NSGA-II,random_key,repair,124,1.4885495000053197,2091.9500000000003,187.85397244355755,80,1344477.5418135342,195.5415330394033,110.30302555045982,0.790998974143028
1,nsga2_rk_repair,NSGA-II,random_key,repair,125,1.4819716659985716,1424.9500000000003,251.14686670230378,80,1699340.7334121685,103.44465305136379,89.8586810059595,0.7317168933437475
1,nsga2_rk_repair,NSGA-II,random_key,repair,126,1.471962124996935,746.3300000000004,144.3495671123173,80,1518061.5036864658,70.51695558190835,278.25909184722343,0.9808810077713122
1,nsga2_rk_repair,NSGA-II,random_key,repair,127,1.4639952080033254,1889.5700000000002,189.48675315228513,80,1630956.682681277,172.1872996421506,170.5159896916398,0.9268329330236228
1,nsga2_rk_repair,NSGA-II,random_key,repair,128,1.5012132080009906,2813.9500000000003,160.38804607510363,80,1604949.2639995082,376.732563178788,148.6122869689917,0.8417149955988895
1,nsga2_rk_repair,NSGA-II,random_key,repair,129,1.4719486249960028,1645.9500000000003,171.08742077485647,80,1446310.4269543102,152.1097117051901,113.5537204965277,0.8651398071975652
1,nsga2_di_penalty,NSGA-II,direct_index,penalty,100,2.739998499993817,2100.3300000000004,191.91483201432956,80,1280905.6172863338,233.7794754656352,96.77490642672636,0.8933541732698461
1,nsga2_di_penalty,NSGA-II,direct_index,penalty,101,2.7993634169979487,2229.3300000000004,185.89063936398202,80,1285172.018377143,244.21807952969013,99.44497254282484,0.7736960850207667
1,nsga2_di_penalty,NSGA-II,direct_index,penalty,102,2.7610572910052724,1965.5700000000002,177.5136518584197,80,1535118.4500901261,174.16528069534473,129.39745464294907,0.9272724919900102
1,nsga2_di_penalty,NSGA-II,direct_index,penalty,103,2.6699615409888793,2050.57,212.83398527466264,80,2069240.1668781054,189.07388330430763,135.98293934229395,0.7986578866967221
1,nsga2_di_penalty,NSGA-II,direct_index,penalty,104,2.7388804170041112,1960.3300000000004,170.99006075880757,80,786266.3494219054,242.22698267143224,73.13893739633592,0.7951173701736827
1,nsga2_di_penalty,NSGA-II,direct_index,penalty,105,2.7846807500027353,1916.9500000000003,225.39180597136422,80,1688844.4997541218,198.86749326899604,180.78090119963602,0.8296364862490919
